frequency_mhz,level_dbm,efficiency,buffer_voltage_mv,resistance,pwr_pw
850.0,-30.0,0.21,45.0,972083.0,2083.0
850.0,-29.5,0.19,46.0,972083.0,2176.0
850.0,-29.0,0.18,47.0,972083.0,2272.0
850.0,-28.5,0.17,48.0,972083.0,2370.0
850.0,-28.0,0.16,50.0,972083.0,2571.0
850.0,-27.5,0.16,53.0,972083.0,2889.0
850.0,-27.0,0.17,57.0,972083.0,3342.0
850.0,-26.5,0.18,63.0,972083.0,4082.0
850.0,-26.0,0.21,71.0,972083.0,5185.0
850.0,-25.5,0.26,84.0,972083.0,7258.0
850.0,-25.0,0.36,105.0,972083.0,11341.0
850.0,-24.5,0.51,133.0,972083.0,18197.0
850.0,-24.0,0.76,171.0,972083.0,30080.0
850.0,-23.5,1.09,218.0,972083.0,48888.0
850.0,-23.0,1.6,279.0,972083.0,80076.0
850.0,-22.5,2.29,354.0,972083.0,128914.0
850.0,-22.0,3.13,438.0,972083.0,197353.0
850.0,-21.5,4.1,531.0,972083.0,290058.0
850.0,-21.0,5.3,543.0,700410.0,420966.0
850.0,-20.5,6.61,542.0,498764.0,588983.0
850.0,-20.0,8.15,545.0,364244.0,815456.0
850.0,-19.5,9.45,543.0,278151.0,1060032.0
850.0,-19.0,10.78,545.0,218769.0,1357710.0
850.0,-18.5,11.95,537.0,170866.0,1687690.0
850.0,-18.0,13.07,536.0,138734.0,2070840.0
850.0,-17.5,14.0,534.0,114533.0,2489727.0
850.0,-17.0,15.23,517.0,87955.0,3038928.0
850.0,-16.5,16.68,549.0,80724.0,3733722.0
850.0,-16.0,17.22,547.0,69161.0,4326267.0
850.0,-15.5,17.61,547.0,60285.0,4963241.0
850.0,-15.0,17.8,544.0,52582.0,5628085.0
850.0,-14.5,18.08,546.0,46461.0,6416478.0
850.0,-14.0,18.09,543.0,40950.0,7200219.0
850.0,-13.5,18.15,546.0,36774.0,8106705.0
850.0,-13.0,18.07,546.0,32912.0,9057972.0
850.0,-12.5,17.78,542.0,29373.0,10001157.0
850.0,-12.0,17.77,549.0,26880.0,11212834.0
850.0,-11.5,17.34,547.0,24374.0,12275744.0
850.0,-11.0,16.8,540.0,21854.0,13343095.0
850.0,-10.5,16.56,544.0,20046.0,14762845.0
850.0,-10.0,16.05,541.0,18231.0,16054028.0
850.0,-9.5,15.67,543.0,16774.0,17577739.0
850.0,-9.0,15.13,540.0,15313.0,19042643.0
850.0,-8.5,14.47,532.0,13847.0,20439373.0
850.0,-8.0,14.19,543.0,13112.0,22486958.0
850.0,-7.5,13.55,538.0,12008.0,24104263.0
850.0,-7.0,12.86,529.0,10902.0,25668776.0
850.0,-6.5,12.44,532.0,10163.0,27848469.0
850.0,-6.0,11.91,531.0,9421.0,29928988.0
850.0,-5.5,11.35,527.0,8681.0,31992742.0
850.0,-5.0,10.73,519.0,7938.0,33933106.0
850.0,-4.5,10.46,530.0,7567.0,37121712.0
850.0,-4.0,10.03,536.0,7194.0,39935501.0
850.0,-3.5,9.24,516.0,6450.0,41280000.0
850.0,-3.0,9.32,549.0,6450.0,46728837.0
850.0,-2.5,8.4,519.0,5704.0,47223176.0
850.0,-2.0,7.98,518.0,5331.0,50332770.0
850.0,-1.5,7.99,549.0,5331.0,56537422.0
850.0,-1.0,7.03,506.0,4583.0,55866463.0
850.0,-0.5,7.03,536.0,4583.0,62687322.0
850.0,0.0,6.53,524.0,4208.0,65250950.0
862.5,-30.0,0.21,45.0,972083.0,2083.0
862.5,-29.5,0.19,46.0,972083.0,2176.0
862.5,-29.0,0.18,47.0,972083.0,2272.0
862.5,-28.5,0.17,48.0,972083.0,2370.0
862.5,-28.0,0.16,50.0,972083.0,2571.0
862.5,-27.5,0.16,53.0,972083.0,2889.0
862.5,-27.0,0.21,64.0,972083.0,4213.0
862.5,-26.5,0.24,72.0,972083.0,5332.0
862.5,-26.0,0.31,87.0,972083.0,7786.0
862.5,-25.5,0.43,108.0,972083.0,11998.0
862.5,-25.0,0.61,137.0,972083.0,19308.0
862.5,-24.5,0.88,174.0,972083.0,31145.0
862.5,-24.0,1.32,226.0,972083.0,52542.0
862.5,-23.5,1.81,280.0,972083.0,80651.0
862.5,-23.0,2.59,355.0,972083.0,129644.0
862.5,-22.5,3.46,435.0,972083.0,194659.0
862.5,-22.0,4.63,533.0,972083.0,292247.0
862.5,-21.5,5.88,543.0,707740.0,416606.0
862.5,-21.0,7.36,544.0,506360.0,584437.0
