frequency_mhz,level_dbm,efficiency,buffer_voltage_mv,resistance,pwr_pw
850.0,-30.0,0.21,45.0,972083.0,2083.0
850.0,-29.5,0.19,46.0,972083.0,2176.0
850.0,-29.0,0.17,46.0,972083.0,2176.0
850.0,-28.5,0.17,48.0,972083.0,2370.0
850.0,-28.0,0.16,50.0,972083.0,2571.0
850.0,-27.5,0.17,54.0,972083.0,2999.0
850.0,-27.0,0.17,58.0,972083.0,3460.0
850.0,-26.5,0.19,64.0,972083.0,4213.0
850.0,-26.0,0.22,73.0,972083.0,5482.0
850.0,-25.5,0.28,87.0,972083.0,7786.0
850.0,-25.0,0.37,106.0,972083.0,11558.0
850.0,-24.5,0.56,139.0,972083.0,19875.0
850.0,-24.0,0.83,179.0,972083.0,32961.0
850.0,-23.5,1.21,229.0,972083.0,53947.0
850.0,-23.0,1.75,292.0,972083.0,87712.0
850.0,-22.5,2.28,293.0,670988.0,127944.0
850.0,-22.0,2.91,293.0,468281.0,183327.0
850.0,-21.5,3.67,294.0,333075.0,259509.0
850.0,-21.0,4.46,293.0,242588.0,353888.0
850.0,-20.5,5.38,296.0,182875.0,479103.0
850.0,-20.0,6.15,292.0,138734.0,614586.0
850.0,-19.5,6.78,290.0,110490.0,761154.0
850.0,-19.0,8.02,297.0,87330.0,1010065.0
850.0,-18.5,8.7,297.0,71758.0,1229256.0
850.0,-18.0,9.46,299.0,59620.0,1499513.0
850.0,-17.5,9.95,298.0,50211.0,1768616.0
850.0,-17.0,10.36,297.0,42680.0,2066752.0
850.0,-16.5,10.64,296.0,36774.0,2382552.0
850.0,-16.0,11.02,297.0,31853.0,2769252.0
850.0,-15.5,11.21,299.0,28306.0,3158376.0
850.0,-15.0,11.2,296.0,24733.0,3542473.0
850.0,-14.5,11.22,295.0,21854.0,3982108.0
850.0,-14.0,11.33,298.0,19684.0,4511481.0
850.0,-13.5,11.21,296.0,17503.0,5005770.0
850.0,-13.0,11.0,294.0,15679.0,5512851.0
850.0,-12.5,10.89,295.0,14213.0,6122915.0
850.0,-12.0,10.68,293.0,12745.0,6735896.0
850.0,-11.5,10.11,284.0,11271.0,7156064.0
850.0,-11.0,10.12,291.0,10532.0,8040353.0
850.0,-10.5,9.97,295.0,9793.0,8886449.0
850.0,-10.0,9.42,286.0,8681.0,9422416.0
850.0,-9.5,9.18,286.0,7938.0,10304358.0
850.0,-9.0,8.78,282.0,7194.0,11054211.0
850.0,-8.5,8.73,290.0,6822.0,12327763.0
850.0,-8.0,8.51,295.0,6450.0,13492248.0
850.0,-7.5,7.84,282.0,5704.0,13941795.0
850.0,-7.0,7.58,284.0,5331.0,15129619.0
850.0,-6.5,7.27,284.0,4957.0,16271131.0
850.0,-6.0,6.96,283.0,4583.0,17475234.0
850.0,-5.5,6.56,279.0,4208.0,18498336.0
850.0,-5.0,6.72,299.0,4208.0,21245484.0
850.0,-4.5,5.72,265.0,3459.0,20302110.0
850.0,-4.0,5.73,281.0,3459.0,22827695.0
850.0,-3.5,5.82,300.0,3459.0,26019080.0
850.0,-3.0,4.68,252.0,2708.0,23450516.0
850.0,-2.5,4.72,268.0,2708.0,26522895.0
850.0,-2.0,4.79,286.0,2708.0,30205317.0
850.0,-1.5,4.19,263.0,2333.0,29648092.0
850.0,-1.0,4.2,279.0,2333.0,33365195.0
850.0,-0.5,4.21,296.0,2333.0,37555079.0
850.0,0.0,3.59,265.0,1956.0,35902351.0
862.5,-30.0,0.21,45.0,972083.0,2083.0
862.5,-29.5,0.19,46.0,972083.0,2176.0
862.5,-29.0,0.17,46.0,972083.0,2176.0
862.5,-28.5,0.17,48.0,972083.0,2370.0
862.5,-28.0,0.16,50.0,972083.0,2571.0
862.5,-27.5,0.16,53.0,972083.0,2889.0
862.5,-27.0,0.2,63.0,972083.0,4082.0
862.5,-26.5,0.24,73.0,972083.0,5482.0
862.5,-26.0,0.32,89.0,972083.0,8148.0
862.5,-25.5,0.43,109.0,972083.0,12222.0
862.5,-25.0,0.6,136.0,972083.0,19027.0
862.5,-24.5,0.89,175.0,972083.0,31504.0
862.5,-24.0,1.33,227.0,972083.0,53008.0
862.5,-23.5,1.92,289.0,972083.0,85919.0
862.5,-23.0,2.55,297.0,689395.0,127951.0
862.5,-22.5,3.2,295.0,483542.0,179974.0
862.5,-22.0,3.97,294.0,344782.0,250697.0
862.5,-21.5,4.77,293.0,254464.0,337371.0
862.5,-21.0,5.66,293.0,190868.0,449782.0
